Employee_ID,Age,Gender,Education,Department,Experience,Working_Hours,Performance_Score,Projects_Completed,Salary
EMP_001,60,Female,Master,IT,21,40,1,34,135500
EMP_002,50,Male,Master,Finance,11,41,2,23,102000
EMP_003,36,Non-binary,Master,Finance,7,41,3,16,90400
EMP_004,29,Male,Bachelor,IT,0,49,5,11,69400
EMP_005,42,Male,Bachelor,Operations,9,37,3,20,79100
EMP_006,60,Female,Bachelor,Marketing,29,37,3,53,146700
EMP_007,40,Male,Bachelor,Marketing,13,37,1,23,90400
EMP_008,44,Male,Bachelor,HR,22,37,2,38,126100
EMP_009,32,Female,Bachelor,Operations,0,37,5,12,55900
EMP_010,32,Female,Master,Finance,1,44,5,14,83200
EMP_011,45,Male,PhD,IT,18,45,1,29,142500
EMP_012,57,Female,Bachelor,HR,16,37,5,38,115100
EMP_013,45,Female,Bachelor,Marketing,13,36,3,27,91900
EMP_014,24,Female,Bachelor,Finance,0,41,4,9,60800
EMP_015,43,Male,PhD,Finance,7,37,3,18,109000
EMP_016,23,Female,PhD,IT,1,42,3,8,87200
EMP_017,45,Non-binary,Bachelor,Marketing,12,40,3,26,95600
EMP_018,51,Female,Master,Operations,24,33,3,43,145500
EMP_019,59,Female,Bachelor,Finance,8,46,2,19,81400
EMP_020,23,Male,Bachelor,IT,1,47,1,4,54100
EMP_021,42,Male,Bachelor,Operations,10,37,3,22,86500
EMP_022,54,Female,Bachelor,Marketing,3,38,4,12,68000
EMP_023,33,Female,PhD,Finance,9,41,2,18,113300
EMP_024,43,Female,Master,Operations,12,41,3,24,103900
EMP_025,46,Male,Bachelor,Operations,1,42,5,15,65800
EMP_026,48,Female,Master,Operations,22,48,1,35,140600
EMP_027,49,Female,PhD,Finance,4,39,3,15,92500
EMP_028,37,Female,PhD,Finance,10,36,3,21,119500
EMP_029,36,Male,Bachelor,HR,5,34,4,19,75400
EMP_030,24,Non-binary,Bachelor,Marketing,1,37,2,8,57900
EMP_031,58,Male,Bachelor,IT,20,39,3,38,127200
EMP_032,28,Male,Bachelor,Operations,1,47,4,11,63700
EMP_033,42,Female,Bachelor,HR,3,37,5,14,71500
EMP_034,30,Female,Master,IT,8,40,3,18,99400
EMP_035,60,Female,Bachelor,HR,37,39,3,65,180000
EMP_036,39,Male,Bachelor,Finance,1,44,3,11,64900
EMP_037,25,Female,Bachelor,Operations,0,50,4,9,60700
EMP_038,46,Female,Bachelor,IT,4,37,3,16,73200
EMP_039,35,Non-binary,Bachelor,IT,8,38,1,15,72800
EMP_040,30,Male,Bachelor,IT,5,44,5,20,84500
EMP_041,47,Male,Bachelor,IT,25,42,3,43,150200
EMP_042,23,Male,Bachelor,IT,1,47,3,10,60200
EMP_043,41,Male,Bachelor,HR,9,42,2,21,78500
EMP_044,49,Female,Master,Operations,21,38,3,40,138500
EMP_045,28,Male,Bachelor,Finance,4,42,3,15,73200
EMP_046,29,Male,Bachelor,Finance,2,44,3,12,63400
EMP_047,56,Female,Bachelor,Finance,30,43,2,53,158300
EMP_048,35,Female,PhD,Finance,5,42,3,16,97000
EMP_049,38,Male,Bachelor,HR,7,44,5,21,89400
EMP_050,57,Male,Bachelor,Marketing,33,44,1,55,160700
EMP_051,25,Female,PhD,Operations,3,45,5,17,103400
EMP_052,23,Male,Bachelor,IT,0,42,3,10,58200
EMP_053,27,Male,Master,Marketing,0,39,4,10,66800
EMP_054,25,Male,Bachelor,Finance,0,40,4,9,60000
EMP_055,50,Male,Bachelor,Marketing,6,44,3,18,74300
EMP_056,39,Female,Bachelor,Operations,9,36,4,23,85800
EMP_057,47,Male,Master,IT,12,41,4,28,123000
EMP_058,55,Female,Bachelor,IT,16,38,3,34,111000
EMP_059,31,Female,PhD,Operations,9,40,3,21,107600
EMP_060,57,Male,Bachelor,Operations,20,45,3,37,124700
EMP_061,35,Male,Master,Finance,11,40,4,25,114800
EMP_062,52,Male,Bachelor,IT,29,40,4,51,158200
EMP_063,36,Female,Master,Marketing,9,34,4,22,97900
EMP_064,29,Male,Bachelor,HR,5,42,3,15,68000
EMP_065,35,Male,Bachelor,HR,1,42,4,10,62200
EMP_066,44,Female,Bachelor,Operations,21,48,2,39,124000
EMP_067,42,Male,Bachelor,Finance,10,38,3,21,84100
EMP_068,37,Male,Bachelor,HR,0,40,1,4,45100
EMP_069,39,Male,Bachelor,IT,3,40,3,10,68600
EMP_070,45,Male,Master,Operations,18,46,3,35,128300
EMP_071,47,Female,Bachelor,Marketing,25,39,3,47,137100
EMP_072,46,Male,Master,Operations,20,41,3,36,130600
EMP_073,50,Female,PhD,Marketing,10,42,3,24,115300
EMP_074,36,Male,Bachelor,Operations,7,40,3,18,79100
EMP_075,22,Female,Master,Operations,0,38,2,7,56400
EMP_076,46,Male,Master,Operations,10,40,3,21,97400
EMP_077,28,Male,Bachelor,Marketing,3,44,2,11,60300
EMP_078,30,Non-binary,Bachelor,Marketing,0,35,1,5,48300
EMP_079,45,Female,Bachelor,Operations,6,40,3,15,74600
EMP_080,22,Female,Bachelor,HR,0,37,3,10,47700
EMP_081,29,Male,Bachelor,Finance,7,44,3,19,84400
EMP_082,45,Male,Bachelor,Finance,2,33,3,12,56400
EMP_083,32,Male,Master,Finance,5,37,3,17,87200
EMP_084,38,Female,Master,Marketing,1,41,4,12,77000
EMP_085,29,Male,Bachelor,Marketing,6,46,3,18,81000
EMP_086,56,Female,Bachelor,HR,23,39,3,43,134200
EMP_087,56,Male,Bachelor,Finance,21,37,1,34,119200
EMP_088,54,Non-binary,Bachelor,Finance,4,47,3,16,70600
EMP_089,26,Male,Bachelor,Operations,0,34,3,9,44800
EMP_090,60,Female,Master,Marketing,35,31,3,62,173600
EMP_091,49,Male,Bachelor,Finance,14,41,3,29,108600
EMP_092,28,Male,Master,HR,3,37,3,12,72700
EMP_093,30,Female,PhD,HR,2,35,3,12,84200
EMP_094,29,Male,Bachelor,Finance,2,42,4,15,73300
EMP_095,33,Male,Master,Marketing,3,40,4,16,78800
EMP_096,55,Non-binary,Bachelor,HR,16,37,4,36,110900
EMP_097,54,Female,Bachelor,Operations,8,34,5,23,83600
EMP_098,44,Male,Bachelor,HR,1,43,1,5,48000
EMP_099,45,Male,Master,IT,20,42,2,38,138200
EMP_100,58,Male,Master,IT,8,39,1,18,88000
EMP_101,56,Female,Master,Marketing,8,47,3,19,94500
EMP_102,43,Male,PhD,Finance,7,35,4,19,107900
EMP_103,48,Male,Master,Marketing,16,33,2,32,115200
EMP_104,56,Male,PhD,Marketing,0,37,5,10,81400
EMP_105,22,Male,Master,Marketing,0,39,1,6,55300
EMP_106,56,Female,Master,Marketing,24,40,5,50,156700
EMP_107,58,Male,Bachelor,Operations,24,39,3,43,139000
EMP_108,35,Female,Bachelor,Operations,6,41,2,14,68800
EMP_109,24,Male,Master,HR,2,34,3,13,65800
EMP_110,22,Male,Bachelor,IT,0,45,2,8,54000
EMP_111,26,Male,Bachelor,Marketing,2,39,2,11,57700
EMP_112,47,Male,PhD,HR,17,44,3,32,144600
EMP_113,35,Female,Bachelor,IT,4,41,4,18,71600
EMP_114,60,Female,Bachelor,Finance,29,41,3,53,155700
EMP_115,48,Female,Master,Operations,5,42,3,16,82000
EMP_116,30,Female,Master,IT,1,41,3,7,73300
EMP_117,36,Male,Bachelor,Finance,11,42,4,26,102900
EMP_118,36,Female,Master,IT,2,45,2,7,71800
EMP_119,47,Male,Master,Operations,4,40,3,15,74800
EMP_120,34,Female,Bachelor,Operations,11,42,2,22,87900
EMP_121,53,Male,Bachelor,HR,26,39,2,47,137700
EMP_122,60,Male,Master,Marketing,16,45,3,33,125300
EMP_123,53,Male,Bachelor,IT,9,37,2,21,84500
EMP_124,25,Male,Bachelor,IT,0,47,3,7,62200
EMP_125,51,Male,Bachelor,Finance,22,39,4,44,137200
EMP_126,58,Male,Bachelor,Operations,11,34,2,21,90600
EMP_127,44,Non-binary,Bachelor,IT,15,40,3,31,107000
EMP_128,60,Male,Bachelor,Operations,23,37,2,41,128800
EMP_129,36,Male,Bachelor,IT,2,43,5,14,69700
EMP_130,50,Female,Bachelor,HR,7,37,3,18,71800
EMP_131,57,Female,Master,Marketing,30,38,4,53,170200
EMP_132,34,Male,Bachelor,IT,4,32,3,16,71900
EMP_133,53,Male,Master,Operations,16,38,1,29,111800
EMP_134,28,Female,Bachelor,HR,6,30,3,19,66200
EMP_135,43,Male,Master,IT,4,33,5,17,88600
EMP_136,49,Female,Bachelor,Finance,21,43,3,41,132100
EMP_137,23,Female,PhD,Marketing,1,43,4,10,84500
EMP_138,27,Male,Master,IT,5,41,4,19,86800
EMP_139,49,Male,Bachelor,HR,7,36,2,14,74800
EMP_140,49,Female,Master,Finance,24,39,2,40,149100
EMP_141,41,Female,Bachelor,HR,17,39,3,31,117500
EMP_142,51,Female,Bachelor,HR,24,35,3,42,136300
EMP_143,32,Female,Bachelor,Finance,10,46,4,23,100700
EMP_144,49,Female,Bachelor,HR,25,43,5,47,147700
EMP_145,46,Female,Bachelor,Finance,8,39,3,19,81200
EMP_146,60,Female,Bachelor,IT,25,40,2,44,139800
EMP_147,54,Female,Master,Finance,31,40,4,58,178100
EMP_148,22,Female,Bachelor,Finance,0,31,2,4,50500
EMP_149,48,Female,Bachelor,Marketing,9,39,4,22,91900
EMP_150,34,Female,Bachelor,Finance,6,37,3,16,75700
EMP_151,24,Female,Bachelor,Finance,0,35,3,7,57300
EMP_152,60,Male,Bachelor,IT,22,38,1,38,122900
EMP_153,27,Female,Master,Marketing,1,47,3,11,70100
EMP_154,29,Female,Bachelor,Operations,4,42,3,15,64600
EMP_155,48,Female,Bachelor,IT,21,37,3,39,122600
EMP_156,30,Female,Bachelor,IT,6,42,2,14,74900
EMP_157,58,Female,Bachelor,Operations,13,45,4,29,104400
EMP_158,54,Male,Master,Finance,14,43,4,29,126700
EMP_159,45,Male,Bachelor,HR,20,40,2,34,120400
EMP_160,36,Male,Bachelor,Marketing,6,37,1,14,65900
EMP_161,53,Male,PhD,HR,8,42,1,18,95100
EMP_162,53,Male,Bachelor,Operations,18,41,3,35,116900
EMP_163,45,Female,PhD,IT,15,43,3,32,140700
EMP_164,33,Male,Bachelor,IT,7,42,3,19,83600
EMP_165,60,Female,Master,Marketing,22,44,2,37,144500
EMP_166,23,Male,Bachelor,IT,0,37,3,10,61600
EMP_167,24,Female,Master,IT,1,45,3,11,74200
EMP_168,58,Male,Bachelor,Marketing,30,40,3,51,154900
EMP_169,38,Male,Bachelor,Marketing,6,48,5,21,82700
EMP_170,23,Female,Bachelor,Operations,0,37,2,4,42000
EMP_171,23,Female,Master,IT,1,46,3,11,73900
EMP_172,49,Male,Master,IT,26,40,3,47,163600
EMP_173,44,Female,Master,Operations,9,37,3,21,87400
EMP_174,58,Male,Bachelor,Finance,16,38,4,32,112900
EMP_175,53,Male,Master,Finance,13,38,3,29,113100
EMP_176,54,Non-binary,Bachelor,Finance,30,41,5,58,167900
EMP_177,22,Female,Bachelor,Operations,0,42,2,8,47400
EMP_178,40,Male,Bachelor,IT,2,37,2,8,57000
EMP_179,23,Female,Master,Operations,1,39,4,12,70200
EMP_180,47,Female,Bachelor,Operations,12,48,3,26,95800
EMP_181,53,Female,Bachelor,Finance,1,46,2,8,57100
EMP_182,27,Male,Master,HR,2,41,1,7,66300
EMP_183,53,Male,Bachelor,IT,4,40,1,10,66100
EMP_184,25,Female,Bachelor,Finance,2,40,4,14,63900
EMP_185,32,Female,Bachelor,HR,7,42,2,16,65200
EMP_186,38,Female,Bachelor,HR,11,35,3,24,91200
EMP_187,59,Male,Bachelor,Marketing,14,38,2,26,92300
EMP_188,45,Female,Bachelor,IT,23,33,3,44,134600
EMP_189,26,Female,Master,HR,0,41,1,6,51800
EMP_190,55,Male,Bachelor,Finance,3,42,3,11,72400
EMP_191,27,Male,Bachelor,Marketing,4,38,1,11,64600
EMP_192,43,Female,Master,IT,21,46,4,39,150000
EMP_193,32,Female,Bachelor,Operations,8,35,2,16,73200
EMP_194,37,Male,Bachelor,Finance,12,34,3,24,95000
EMP_195,54,Male,Bachelor,HR,17,40,4,34,117800
EMP_196,30,Male,Bachelor,HR,0,44,3,7,55700
EMP_197,27,Male,Bachelor,Finance,4,46,3,14,77000
EMP_198,37,Female,Master,HR,9,38,3,19,92600
EMP_199,50,Female,Master,Marketing,11,44,3,25,105500
EMP_200,24,Male,Bachelor,IT,1,39,3,10,58400
EMP_201,41,Female,Bachelor,Marketing,1,39,5,11,59800
EMP_202,57,Female,Bachelor,HR,34,43,3,57,172400
EMP_203,40,Female,PhD,Operations,9,42,3,19,106700
EMP_204,47,Female,Bachelor,IT,1,33,4,10,64500
EMP_205,24,Male,Bachelor,IT,1,45,3,8,60400
EMP_206,40,Male,Bachelor,Finance,12,45,1,21,94600
EMP_207,41,Female,Bachelor,Finance,12,37,3,28,95700
EMP_208,53,Female,Master,Operations,17,41,5,38,132800
EMP_209,28,Male,Bachelor,IT,2,41,2,10,58900
EMP_210,54,Female,Master,Operations,28,41,3,50,158700
EMP_211,60,Female,Bachelor,Finance,28,37,2,47,151000
EMP_212,39,Male,Master,Finance,11,37,3,26,105300
EMP_213,22,Female,Bachelor,IT,0,39,1,6,49400
EMP_214,32,Non-binary,Bachelor,Marketing,8,44,3,21,80700
EMP_215,49,Non-binary,Master,HR,15,42,4,31,117500
EMP_216,46,Male,PhD,Finance,23,38,3,42,164700
EMP_217,44,Female,Master,Finance,11,43,3,23,111200
EMP_218,52,Female,Bachelor,Marketing,14,30,4,29,98300
EMP_219,51,Female,PhD,Marketing,24,44,5,47,171200
EMP_220,56,Non-binary,Bachelor,Operations,9,33,2,17,79100
EMP_221,28,Female,PhD,Operations,5,38,3,13,92100
EMP_222,37,Female,Bachelor,HR,8,35,2,18,72600
EMP_223,47,Female,Master,HR,6,34,5,22,90700
EMP_224,23,Female,Master,IT,1,44,5,12,81100
EMP_225,22,Male,Master,Operations,0,38,3,6,65600
EMP_226,33,Male,Bachelor,Finance,4,41,4,15,75000
EMP_227,26,Male,Bachelor,Operations,0,39,3,9,49100
EMP_228,58,Female,Master,Finance,29,41,3,52,172800
EMP_229,53,Male,Bachelor,Marketing,16,40,1,30,96600
EMP_230,30,Female,PhD,Operations,2,34,4,14,91000
EMP_231,56,Male,Master,Marketing,13,43,2,25,111700
EMP_232,40,Female,Bachelor,HR,17,38,4,33,116000
EMP_233,37,Female,Master,HR,3,33,4,16,76300
EMP_234,24,Female,Bachelor,IT,1,38,4,11,64600
EMP_235,41,Male,Master,Operations,4,46,1,9,71500
EMP_236,45,Female,Master,Marketing,15,43,3,28,118900
EMP_237,54,Female,Bachelor,Finance,0,38,2,7,49200
EMP_238,45,Male,Bachelor,HR,20,38,3,36,122500
EMP_239,32,Female,PhD,HR,8,38,1,15,98600
EMP_240,29,Female,Bachelor,Finance,6,48,5,23,88900
EMP_241,57,Male,Bachelor,Marketing,23,41,3,44,131200
EMP_242,59,Female,Bachelor,Marketing,3,41,3,14,59400
EMP_243,41,Male,Bachelor,Operations,11,44,3,25,96900
EMP_244,56,Male,Bachelor,Operations,5,40,3,15,68000
EMP_245,46,Male,Bachelor,IT,6,38,3,17,76400
EMP_246,56,Male,Bachelor,HR,23,39,3,40,132900
EMP_247,46,Male,Master,Operations,10,39,5,28,107300
EMP_248,50,Female,Bachelor,Marketing,12,39,3,28,95700
EMP_249,39,Female,Bachelor,Finance,1,42,5,15,68400
EMP_250,39,Female,Bachelor,Marketing,6,40,4,18,73600
